MethodCode,IndividuallySet,ProductCode,ByLocationId,ByLotNumber
FirstInFirstOut,false,Hyundai,true,false
MovingAverage,true,Ford,false,false
MovingAverage,true,Lincoln,true,true
FirstInFirstOut,true,Dodge,false,false
WeightedAverage,true,Kia,true,true
MovingAverage,false,Spyker,false,true
Lot,false,Buick,true,true
MovingAverage,false,Suzuki,true,true
WeightedAverage,true,Lexus,false,true
MovingAverage,true,Ford,true,false
Lot,true,Audi,false,true
Lot,true,Chevrolet,true,false
MovingAverage,true,Chevrolet,false,true
WeightedAverage,false,Lexus,true,true
WeightedAverage,true,Infiniti,false,false
MovingAverage,false,Chevrolet,false,false
FirstInFirstOut,false,Lexus,false,true
WeightedAverage,false,Toyota,false,true
WeightedAverage,false,Cadillac,true,false
Lot,false,Mazda,false,false
MovingAverage,false,GMC,false,false
Lot,true,Dodge,true,false
Lot,true,Ford,false,true
WeightedAverage,true,Kia,false,true
MovingAverage,true,Audi,false,false
MovingAverage,true,Honda,true,false
FirstInFirstOut,true,Land Rover,true,true
MovingAverage,true,Bentley,false,false
FirstInFirstOut,false,Mercedes-Benz,false,true
FirstInFirstOut,false,Infiniti,false,true
WeightedAverage,true,GMC,true,false
Lot,true,Ford,false,true
MovingAverage,false,Toyota,true,false
Lot,false,BMW,true,true
Lot,true,Mazda,true,false
FirstInFirstOut,true,Mazda,true,false
MovingAverage,true,Ford,false,false
WeightedAverage,false,Porsche,false,true
WeightedAverage,false,Porsche,false,false
FirstInFirstOut,true,Dodge,true,true
MovingAverage,false,Ford,true,true
Lot,false,Nissan,false,true
Lot,false,Audi,false,true
FirstInFirstOut,false,Subaru,true,false
Lot,false,Dodge,false,true
FirstInFirstOut,false,Hummer,false,true
WeightedAverage,true,Chevrolet,false,true
WeightedAverage,true,Dodge,true,false
MovingAverage,false,Mercedes-Benz,false,false
MovingAverage,true,Ford,false,true
FirstInFirstOut,true,Alfa Romeo,false,false
FirstInFirstOut,true,Chevrolet,true,true
Lot,true,Kia,true,true
MovingAverage,true,Ford,false,false
Lot,false,Buick,false,true
MovingAverage,true,GMC,true,true
FirstInFirstOut,false,Dodge,true,false
MovingAverage,true,Subaru,true,false
Lot,false,Hyundai,true,true
MovingAverage,false,Dodge,false,true
MovingAverage,false,Ford,false,false
FirstInFirstOut,false,Chevrolet,true,false
FirstInFirstOut,true,Chevrolet,true,true
Lot,false,Audi,false,false
FirstInFirstOut,true,Infiniti,true,false
MovingAverage,false,Chevrolet,true,true
WeightedAverage,false,Mercedes-Benz,true,true
WeightedAverage,true,Chevrolet,true,false
WeightedAverage,true,Volkswagen,true,false
MovingAverage,false,Ford,false,false
WeightedAverage,false,Audi,true,false
Lot,true,Chevrolet,false,false
WeightedAverage,true,Dodge,false,true
FirstInFirstOut,true,Saturn,false,false
FirstInFirstOut,false,Land Rover,true,true
MovingAverage,true,Volkswagen,false,true
FirstInFirstOut,false,Ford,false,false
MovingAverage,true,Ford,true,false
WeightedAverage,false,Nissan,true,false
FirstInFirstOut,false,Volkswagen,true,false
MovingAverage,true,Mitsubishi,true,false
WeightedAverage,false,Suzuki,false,true
FirstInFirstOut,false,Ford,false,true
MovingAverage,false,Mazda,false,false
FirstInFirstOut,false,Volkswagen,false,true
FirstInFirstOut,true,Mercury,false,true
Lot,true,Morgan,false,true
MovingAverage,false,Mercedes-Benz,true,false
FirstInFirstOut,false,Volvo,true,true
MovingAverage,true,Jeep,false,true
MovingAverage,false,Lexus,true,false
FirstInFirstOut,true,Mazda,true,true
FirstInFirstOut,false,Aston Martin,true,false
MovingAverage,true,Cadillac,true,true
FirstInFirstOut,true,Chrysler,false,false
FirstInFirstOut,false,Mercedes-Benz,false,true
WeightedAverage,false,Saab,true,false
FirstInFirstOut,true,Chevrolet,false,false
Lot,false,Mitsubishi,true,false
FirstInFirstOut,false,Honda,true,true
MovingAverage,false,Maserati,true,true
FirstInFirstOut,false,Volkswagen,false,false
WeightedAverage,true,Buick,true,true
WeightedAverage,true,Porsche,true,false
WeightedAverage,true,Acura,false,false
MovingAverage,true,Mercury,true,true
MovingAverage,false,Kia,false,false
Lot,false,Pontiac,false,true
WeightedAverage,false,BMW,true,false
FirstInFirstOut,false,Chevrolet,true,false
Lot,false,Infiniti,false,false
Lot,false,Buick,true,true
Lot,false,Ford,false,true
FirstInFirstOut,true,Buick,true,false
WeightedAverage,false,Oldsmobile,false,true
MovingAverage,true,Lamborghini,true,true
MovingAverage,false,Suzuki,false,true
MovingAverage,false,Volkswagen,true,true
MovingAverage,true,Hummer,false,false
FirstInFirstOut,false,Volkswagen,false,false
MovingAverage,false,Hyundai,false,false
FirstInFirstOut,true,Plymouth,true,false
FirstInFirstOut,true,Mercury,false,false
Lot,true,Dodge,true,false
FirstInFirstOut,true,Bentley,false,false
Lot,false,Mazda,false,false
Lot,false,Geo,true,true
WeightedAverage,true,Mitsubishi,true,true
FirstInFirstOut,false,Lexus,false,true
FirstInFirstOut,true,Isuzu,true,false
MovingAverage,true,Lincoln,true,true
Lot,false,Hyundai,true,false
Lot,true,Mazda,true,false
WeightedAverage,true,Ford,true,true
WeightedAverage,true,Buick,true,true
Lot,true,Pontiac,true,false
FirstInFirstOut,true,Cadillac,false,true
Lot,false,Pontiac,true,true
FirstInFirstOut,false,Land Rover,false,false
MovingAverage,false,Ford,true,true
FirstInFirstOut,true,Mazda,true,true
WeightedAverage,false,Mitsubishi,false,false
WeightedAverage,true,Ford,true,false
WeightedAverage,false,Oldsmobile,true,false
Lot,false,Toyota,true,false
Lot,false,Honda,true,false
Lot,false,Porsche,false,false
FirstInFirstOut,true,Bentley,false,false
WeightedAverage,true,Ford,true,true
WeightedAverage,false,Toyota,false,false
FirstInFirstOut,false,Volkswagen,false,true
MovingAverage,false,Chevrolet,true,false
MovingAverage,false,Ford,true,true
Lot,true,Acura,false,true
FirstInFirstOut,false,Cadillac,true,false
WeightedAverage,false,Ford,true,true
WeightedAverage,true,Pontiac,false,true
WeightedAverage,true,Subaru,true,true
Lot,false,Saturn,true,true
FirstInFirstOut,false,Ford,false,false
Lot,true,GMC,true,true
Lot,true,Toyota,false,false
Lot,false,Cadillac,false,false
Lot,false,Mercedes-Benz,true,true
WeightedAverage,true,Chevrolet,false,false
WeightedAverage,false,Ford,true,true
FirstInFirstOut,true,Porsche,false,true
WeightedAverage,false,Acura,true,false
Lot,false,Chevrolet,false,false
Lot,false,Buick,true,true
Lot,false,Lexus,false,true
